Unnamed: 0,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Temperature_C
105,Assam,BAKSA,2008,Kharif     ,Sesamum,426.0,221.0,23.0
106,Assam,BAKSA,2008,Kharif     ,Small millets,267.0,131.0,28.2
107,Assam,BAKSA,2008,Rabi       ,Blackgram,1345.0,780.0,20.0
108,Assam,BAKSA,2008,Rabi       ,Gram,68.0,31.0,28.5
109,Assam,BAKSA,2008,Rabi       ,Linseed,516.0,316.0,24.7
110,Assam,BAKSA,2008,Rabi       ,Masoor,1579.0,576.0,25.5
111,Assam,BAKSA,2008,Rabi       ,Moong(Green Gram),180.0,75.0,27.8
112,Assam,BAKSA,2008,Rabi       ,Peas & beans (Pulses),845.0,667.0,27.0
113,Assam,BAKSA,2008,Rabi       ,Rapeseed &Mustard,7707.0,4601.0,28.5
114,Assam,BAKSA,2008,Rabi       ,Urad,1345.0,780.0,24.8
115,Assam,BAKSA,2008,Rabi       ,Wheat,1728.0,1291.0,30.0
116,Assam,BAKSA,2008,Summer     ,Rice,11712.0,20949.0,24.1
117,Assam,BAKSA,2008,Whole Year ,Arecanut,2781.0,3015.0,27.4
118,Assam,BAKSA,2008,Whole Year ,Banana,1712.0,25065.0,27.4
119,Assam,BAKSA,2008,Whole Year ,Black pepper,91.0,171.0,20.0
120,Assam,BAKSA,2008,Whole Year ,Coconut ,1323.0,12408000.0,28.6
121,Assam,BAKSA,2008,Whole Year ,Dry chillies,788.0,506.0,25.7
122,Assam,BAKSA,2008,Whole Year ,Dry ginger,393.0,2721.0,25.2
123,Assam,BAKSA,2008,Whole Year ,Onion,233.0,233.0,20.0
124,Assam,BAKSA,2008,Whole Year ,Potato,5049.0,31571.0,23.5
125,Assam,BAKSA,2008,Whole Year ,Sugarcane,491.0,18848.0,21.3
126,Assam,BAKSA,2008,Whole Year ,Sweet potato,181.0,1019.0,22.9
127,Assam,BAKSA,2008,Whole Year ,Tapioca,189.0,1332.0,24.2
128,Assam,BAKSA,2008,Whole Year ,Tobacco,84.0,40.0,28.7
129,Assam,BAKSA,2008,Whole Year ,Turmeric,608.0,563.0,21.5
130,Assam,BAKSA,2008,Winter     ,Rice,69495.0,124614.0,13.7
131,Assam,BAKSA,2009,Autumn     ,Rice,13217.0,21279.0,21.7
132,Assam,BAKSA,2009,Kharif     ,Arhar/Tur,196.0,118.0,25.5
133,Assam,BAKSA,2009,Kharif     ,Castor seed,33.0,17.0,29.3
134,Assam,BAKSA,2009,Kharif     ,Cotton(lint),4.0,2.0,26.4
135,Assam,BAKSA,2009,Kharif     ,Jute,906.0,8290.0,20.0
136,Assam,BAKSA,2009,Kharif     ,Maize,193.0,145.0,27.5
137,Assam,BAKSA,2009,Kharif     ,Mesta,94.0,366.0,20.9
138,Assam,BAKSA,2009,Kharif     ,Niger seed,503.0,262.0,28.2
139,Assam,BAKSA,2009,Kharif     ,Sesamum,452.0,236.0,21.8
140,Assam,BAKSA,2009,Kharif     ,Small millets,276.0,127.0,28.1
141,Assam,BAKSA,2009,Rabi       ,Banana,1733.0,25373.0,27.7
142,Assam,BAKSA,2009,Rabi       ,Gram,94.0,42.0,26.0
143,Assam,BAKSA,2009,Rabi       ,Linseed,673.0,398.0,28.3
144,Assam,BAKSA,2009,Rabi       ,Masoor,1794.0,594.0,20.7
145,Assam,BAKSA,2009,Rabi       ,Moong(Green Gram),276.0,117.0,24.3
146,Assam,BAKSA,2009,Rabi       ,Peas & beans (Pulses),1046.0,819.0,20.5
147,Assam,BAKSA,2009,Rabi       ,Rapeseed &Mustard,9684.0,2811.0,25.5
148,Assam,BAKSA,2009,Rabi       ,Urad,1375.0,807.0,23.8
149,Assam,BAKSA,2009,Rabi       ,Wheat,2333.0,2536.0,23.3
150,Assam,BAKSA,2009,Summer     ,Rice,10524.0,16463.0,22.4
151,Assam,BAKSA,2009,Whole Year ,Arecanut,2500.0,2411.0,27.8
152,Assam,BAKSA,2009,Whole Year ,Banana,1733.0,25373.0,26.5
153,Assam,BAKSA,2009,Whole Year ,Black pepper,69.0,116.0,28.5
154,Assam,BAKSA,2009,Whole Year ,Coconut ,1050.0,9634000.0,29.0
155,Assam,BAKSA,2009,Whole Year ,Dry chillies,719.0,439.0,23.7
156,Assam,BAKSA,2009,Whole Year ,Dry ginger,461.0,3192.0,24.6
157,Assam,BAKSA,2009,Whole Year ,Onion,245.0,245.0,28.4
158,Assam,BAKSA,2009,Whole Year ,Potato,4782.0,28022.0,23.3
159,Assam,BAKSA,2009,Whole Year ,Sugarcane,550.0,21511.0,24.2
160,Assam,BAKSA,2009,Whole Year ,Sweet potato,258.0,1453.0,24.8
161,Assam,BAKSA,2009,Whole Year ,Tapioca,192.0,1354.0,25.9
162,Assam,BAKSA,2009,Whole Year ,Tobacco,89.0,38.0,22.3
163,Assam,BAKSA,2009,Whole Year ,Turmeric,588.0,544.0,21.7
164,Assam,BAKSA,2009,Winter     ,Rice,68453.0,109965.0,16.1
165,Assam,BAKSA,2010,Autumn     ,Rice,11562.0,13489.0,30.0
166,Assam,BAKSA,2010,Kharif     ,Arhar/Tur,338.0,203.0,24.8
167,Assam,BAKSA,2010,Kharif     ,Castor seed,27.0,14.0,27.9
168,Assam,BAKSA,2010,Kharif     ,Cotton(lint),26.0,10.0,20.0
169,Assam,BAKSA,2010,Kharif     ,Jute,570.0,8750.0,28.6
170,Assam,BAKSA,2010,Kharif     ,Maize,225.0,169.0,29.4
171,Assam,BAKSA,2010,Kharif     ,Mesta,126.0,490.0,30.0
172,Assam,BAKSA,2010,Kharif     ,Niger seed,540.0,281.0,25.5
173,Assam,BAKSA,2010,Kharif     ,Sesamum,450.0,235.0,24.7
